ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
3407.T,JP,JPY,1527.0,0.03,8.92,-1.45,1.36,28.2,61.8,1860.49,926.59,-17.92,48.5,0.61,1568.03,1629.61,1332.15,2,3407.T
3402.T,JP,JPY,1110.5,-0.18,6.87,0.5,-3.28,20.58,20.87,1327.98,884.26,-16.38,45.6,0.7,1139.53,1171.38,1043.57,2,3402.T
7771.T,JP,JPY,390.0,-1.76,222.31,-7.14,27.04,338.2,457.14,925.0,68.0,-57.84,51.2,0.61,390.9,431.6,205.96,2,7771.T
8713.T,JP,JPY,1892.0,-0.42,1.31,-1.43,-6.45,21.7,34.07,2252.0,1364.26,-15.99,44.8,1.21,1938.95,1971.83,1732.54,2,8713.T
1768.T,JP,JPY,1349.0,-0.44,2.44,0.6,-9.61,40.21,65.99,1686.13,804.99,-19.99,47.7,0.7,1342.25,1438.89,1199.69,2,1768.T
6326.T,JP,JPY,2559.0,0.87,14.14,-0.93,7.82,25.09,59.67,3242.0,1523.82,-21.07,53.7,0.74,2595.35,2743.08,2186.29,2,6326.T
6305.T,JP,JPY,5443.0,-0.86,17.94,0.04,6.43,16.55,38.59,6900.18,3927.35,-21.12,52.5,1.26,5491.15,5806.2,4933.3,2,6305.T
6302.T,JP,JPY,5109.0,-0.1,19.96,0.59,6.42,42.64,78.39,6281.0,2697.15,-18.66,52.4,1.05,5103.7,5324.44,4197.81,2,6302.T
1443.T,JP,JPY,285.0,-1.72,8.78,-1.69,-8.01,16.29,58.06,361.63,180.32,-21.19,42.0,0.19,296.25,310.47,258.65,2,1443.T
4415.T,JP,JPY,1238.0,-1.04,13.58,4.74,2.06,-1.51,85.05,1497.0,656.0,-17.3,53.1,0.23,1266.6,1295.2,1083.36,2,4415.T
6592.T,JP,JPY,1600.0,-0.03,11.03,-1.02,7.06,27.85,57.26,1885.0,1001.6,-15.12,47.3,1.14,1626.88,1670.42,1376.38,2,6592.T
6648.T,JP,JPY,2081.0,-2.98,-21.26,0.48,-5.16,34.4,158.76,2642.99,781.0,-21.26,49.1,0.81,2083.45,2169.47,1744.34,2,6648.T
6626.T,JP,JPY,2376.0,-0.29,4.87,-1.29,-0.11,9.91,54.49,2924.89,1537.97,-18.77,55.0,1.15,2372.6,2534.93,2315.6,2,6626.T
